District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Cornwall School District,310011,56.0,56.0,33824,0.0,0.074,0.83,0.064,0.0,2022-23,,
Coventry School District,320011,712.0,712.0,18031,0.008,0.079,0.861,0.011,0.037,2022-23,Tolland,
Cromwell School District,330011,913.0,905.0,19213,0.066,0.133,0.686,0.058,0.053,2022-23,,
Danbury School District,340011,5418.0,5407.0,16742,0.066,0.623,0.225,0.049,0.034,2022-23,Fairfield,
Darien School District,350011,2113.0,2110.0,24553,0.007,0.071,0.813,0.062,0.046,2022-23,,
Deep River School District,360011,112.0,112.0,28602,0.0,0.115,0.839,0.0,0.0,2022-23,,
Derby School District,370011,575.0,574.0,23291,0.201,0.411,0.304,0.0,0.063,2022-23,New Haven,
East Granby School District,400011,390.0,389.0,22261,0.078,0.066,0.742,0.071,0.042,2022-23,,
East Haddam School District,410011,447.0,445.0,24290,0.0,0.088,0.863,0.015,0.027,2022-23,,
East Hampton School District,420011,801.0,796.0,20778,0.011,0.072,0.868,0.012,0.035,2022-23,,
East Hartford School District,430011,2557.0,2538.0,16935,0.299,0.517,0.104,0.04,0.035,2022-23,Hartford,
East Haven School District,440011,1191.0,1186.0,18284,0.059,0.403,0.47,0.0,0.034,2022-23,New Haven,
East Lyme School District,450011,1035.0,1030.0,21125,0.016,0.094,0.731,0.095,0.06,2022-23,New London,
East Windsor School District,470011,471.0,468.0,25467,0.136,0.239,0.493,0.061,0.069,2022-23,,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,,48531,0.0,0.178,0.7,0.0,0.082,2022-23,,
Eastford School District,390011,82.0,81.0,22321,0.0,0.0,0.831,0.0,0.084,2022-23,,
Easton School District,460011,580.0,579.0,20595,0.0,0.082,0.769,0.078,0.041,2022-23,,
EdAdvance,2420014,31.0,31.0,53258,0.069,0.361,0.487,0.0,0.054,2022-23,,
Ellington School District,480011,1174.0,1169.0,17833,0.041,0.077,0.729,0.117,0.0,2022-23,Tolland,
Elm City College Preparatory School District,2890013,365.0,364.0,15732,0.635,0.319,0.023,0.0,0.02,2022-23,,
Elm City Montessori School District,2910013,113.0,113.0,17658,0.235,0.299,0.356,0.027,0.084,2022-23,,
Enfield School District,490011,2042.0,2032.0,18637,0.068,0.216,0.628,0.026,0.06,2022-23,Hartford,
Essex School District,500011,147.0,147.0,27650,0.0,0.083,0.867,0.0,0.043,2022-23,,
Fairfield School District,510011,4122.0,4122.0,23083,0.029,0.132,0.726,0.061,0.052,2022-23,Fairfield,
Farmington School District,520011,1883.0,1876.0,20158,0.048,0.113,0.532,0.246,0.06,2022-23,Hartford,
Franklin School District,530011,106.0,106.0,20287,0.0,0.102,0.791,0.0,0.064,2022-23,,
Glastonbury School District,540011,2511.0,2509.0,20782,0.034,0.117,0.648,0.138,0.062,2022-23,Hartford,
Granby School District,560011,782.0,777.0,20372,0.06,0.058,0.826,0.0,0.028,2022-23,,
Great Oaks Charter School District,2940013,270.0,274.0,17634,0.434,0.512,0.033,0.0,0.045,2022-23,,
Greenwich School District,570011,3755.0,3748.0,27093,0.021,0.229,0.601,0.085,0.062,2022-23,Fairfield,
Griswold School District,580011,710.0,710.0,17798,0.028,0.136,0.74,0.016,0.073,2022-23,,
Groton School District,590011,1780.0,1767.0,19706,0.076,0.242,0.485,0.058,0.127,2022-23,New London,
Guilford School District,600011,1395.0,1394.0,21532,0.0,0.093,0.791,0.047,0.057,2022-23,,
